Tag	tagOccurNum	tagTitleOccurNum	tagBodyOccurNum	titleRatio	bodyRatio	totalRatio
r	6325	6103	6323	6325	0.964901185770751	0.9996837944664032	1.0
isam	10	9	10	10	0.9	1.0	1.0
p	27	26	27	27	0.9629629629629629	1.0	1.0
taylor-series	11	5	6	6	0.45454545454545453	0.5454545454545454	0.5454545454545454
rubiks-cube	11	0	1	1	0.0	0.09090909090909091	0.09090909090909091
master-process	1	1	1	1	1.0	1.0	1.0
firebug	975	600	889	932	0.6153846153846154	0.9117948717948718	0.9558974358974359
apache-regexp	13	0	3	3	0.0	0.23076923076923078	0.23076923076923078
consumption	10	7	5	8	0.7	0.5	0.8
login-system	9	5	6	7	0.5555555555555556	0.6666666666666666	0.7777777777777778
binaryreader	34	19	27	28	0.5588235294117647	0.7941176470588235	0.8235294117647058
fortran90	93	6	3	7	0.06451612903225806	0.03225806451612903	0.07526881720430108
esri	98	35	73	79	0.35714285714285715	0.7448979591836735	0.8061224489795918
gettext	321	205	259	283	0.6386292834890965	0.8068535825545171	0.881619937694704
subquery-factoring	4	1	0	1	0.25	0.0	0.25
fortran95	25	1	1	2	0.04	0.04	0.08
composition	185	105	112	134	0.5675675675675675	0.6054054054054054	0.7243243243243244
runat	5	4	5	5	0.8	1.0	1.0
yahoo-astra	2	0	1	1	0.0	0.5	0.5
runas	39	21	28	30	0.5384615384615384	0.717948717948718	0.7692307692307693
return-type	123	60	92	105	0.4878048780487805	0.7479674796747967	0.8536585365853658
gd-graph	7	6	7	7	0.8571428571428571	1.0	1.0
custom-action	221	137	199	208	0.6199095022624435	0.9004524886877828	0.9411764705882353
domainservices	84	1	10	10	0.011904761904761904	0.11904761904761904	0.11904761904761904
esql	39	19	30	31	0.48717948717948717	0.7692307692307693	0.7948717948717948
fluentvalidation-2.0	9	0	0	0	0.0	0.0	0.0
android-imageview	82	13	35	42	0.15853658536585366	0.4268292682926829	0.5121951219512195
uideviceorientation	6	2	3	3	0.3333333333333333	0.5	0.5
facebook-oauth	21	6	13	13	0.2857142857142857	0.6190476190476191	0.6190476190476191
cpu-time	7	6	6	6	0.8571428571428571	0.8571428571428571	0.8571428571428571
tab-delimited-text	5	0	0	0	0.0	0.0	0.0
clouddb	3	0	1	1	0.0	0.3333333333333333	0.3333333333333333
default-parameters	23	6	10	11	0.2608695652173913	0.43478260869565216	0.4782608695652174
iis-modules	4	0	1	1	0.0	0.25	0.25
ghci	78	46	63	66	0.5897435897435898	0.8076923076923077	0.8461538461538461
rsperl	1	0	1	1	0.0	1.0	1.0
ksort	5	0	4	4	0.0	0.8	0.8
compositing	13	2	6	8	0.15384615384615385	0.46153846153846156	0.6153846153846154
column	919	748	842	893	0.8139281828073993	0.9162132752992383	0.9717083786724701
mod-vhost-alias	5	3	2	3	0.6	0.4	0.6
filedescriptor	27	2	4	4	0.07407407407407407	0.14814814814814814	0.14814814814814814
jtable	938	769	832	891	0.8198294243070362	0.8869936034115139	0.9498933901918977
update	3076	2051	2782	2899	0.6667750325097529	0.9044213263979194	0.9424577373211963
collectioneditor	28	14	22	22	0.5	0.7857142857142857	0.7857142857142857
brewmp	25	3	7	8	0.12	0.28	0.32
unreachable-code	8	5	7	7	0.625	0.875	0.875
vmware-fusion	22	14	18	20	0.6363636363636364	0.8181818181818182	0.9090909090909091
tostring	258	152	213	222	0.5891472868217055	0.8255813953488372	0.8604651162790697
tcustomcontrol	4	3	3	4	0.75	0.75	1.0
query-parser	3	1	2	2	0.3333333333333333	0.6666666666666666	0.6666666666666666
trace-listener	6	5	6	6	0.8333333333333334	1.0	1.0
power-series	3	0	0	0	0.0	0.0	0.0
brightness	75	58	69	72	0.7733333333333333	0.92	0.96
jalopy	5	4	4	4	0.8	0.8	0.8
voicexml	33	19	18	24	0.5757575757575758	0.5454545454545454	0.7272727272727273
sequential	66	42	47	56	0.6363636363636364	0.7121212121212122	0.8484848484848485
cygpath	2	0	2	2	0.0	1.0	1.0
livecycle-data-services	5	0	1	1	0.0	0.2	0.2
execjs	3	2	2	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
floating-image	1	1	1	1	1.0	1.0	1.0
php-extension	127	76	102	110	0.5984251968503937	0.8031496062992126	0.8661417322834646
injection	294	122	128	172	0.41496598639455784	0.43537414965986393	0.5850340136054422
minimize	135	82	105	114	0.6074074074074074	0.7777777777777778	0.8444444444444444
handleerror	21	16	19	19	0.7619047619047619	0.9047619047619048	0.9047619047619048
requestfactory	77	50	61	67	0.6493506493506493	0.7922077922077922	0.8701298701298701
shadows	19	9	10	12	0.47368421052631576	0.5263157894736842	0.631578947368421
asp.net-3.5	772	80	173	207	0.10362694300518134	0.22409326424870465	0.26813471502590674
julian-date	12	9	10	10	0.75	0.8333333333333334	0.8333333333333334
which	16	9	16	16	0.5625	1.0	1.0
windows-identity-foundati	54	14	10	20	0.25925925925925924	0.18518518518518517	0.37037037037037035
productivity-power-tools	10	6	9	9	0.6	0.9	0.9
applescript-objc	19	3	4	4	0.15789473684210525	0.21052631578947367	0.21052631578947367
malformed	22	14	17	19	0.6363636363636364	0.7727272727272727	0.8636363636363636
wsgen	23	16	22	22	0.6956521739130435	0.9565217391304348	0.9565217391304348
skywriter	4	1	1	1	0.25	0.25	0.25
drawable	421	271	389	399	0.6437054631828979	0.9239904988123515	0.9477434679334917
avcapturedevice	15	4	10	10	0.26666666666666666	0.6666666666666666	0.6666666666666666
netmf	1	0	0	0	0.0	0.0	0.0
3g-network	3	0	1	1	0.0	0.3333333333333333	0.3333333333333333
drawellipse	3	0	2	2	0.0	0.6666666666666666	0.6666666666666666
rewrite	721	446	585	631	0.6185852981969486	0.811373092926491	0.8751733703190014
getfileversion	8	0	1	1	0.0	0.125	0.125
glade	149	88	137	143	0.5906040268456376	0.9194630872483222	0.959731543624161
build-queue	1	1	0	1	1.0	0.0	1.0
jquery-tabs	124	69	93	100	0.5564516129032258	0.75	0.8064516129032258
operator-keyword	228	1	4	4	0.0043859649122807015	0.017543859649122806	0.017543859649122806
dateadd	22	6	12	12	0.2727272727272727	0.5454545454545454	0.5454545454545454
viber	10	4	10	10	0.4	1.0	1.0
increment	231	152	169	202	0.658008658008658	0.7316017316017316	0.8744588744588745
msmqbinding	11	1	3	3	0.09090909090909091	0.2727272727272727	0.2727272727272727
windows-ribbon-framework	12	1	6	6	0.08333333333333333	0.5	0.5
vc10	2	2	2	2	1.0	1.0	1.0
iphelper	7	1	1	2	0.14285714285714285	0.14285714285714285	0.2857142857142857
qscrollarea	6	4	5	5	0.6666666666666666	0.8333333333333334	0.8333333333333334
unique-key	86	35	67	68	0.4069767441860465	0.7790697674418605	0.7906976744186046
enunciate	17	13	17	17	0.7647058823529411	1.0	1.0
entityconnection	3	3	3	3	1.0	1.0	1.0
sql-server-migration-assi	7	0	2	2	0.0	0.2857142857142857	0.2857142857142857
foundationkit	4	1	1	1	0.25	0.25	0.25
vpath	3	3	3	3	1.0	1.0	1.0
xmodmap	3	0	3	3	0.0	1.0	1.0
space	225	167	193	205	0.7422222222222222	0.8577777777777778	0.9111111111111111
video-gallery	8	5	5	7	0.625	0.625	0.875
shockwave	23	10	17	19	0.43478260869565216	0.7391304347826086	0.8260869565217391
air-android	5	0	0	0	0.0	0.0	0.0
iphone-sdk-4.0.1	18	1	2	2	0.05555555555555555	0.1111111111111111	0.1111111111111111
recurrence-relation	20	10	13	16	0.5	0.65	0.8
django-permissions	25	13	16	21	0.52	0.64	0.84
tree-structure	7	3	5	5	0.42857142857142855	0.7142857142857143	0.7142857142857143
open-intents	1	0	1	1	0.0	1.0	1.0
queueuserworkitem	9	4	8	9	0.4444444444444444	0.8888888888888888	1.0
ncqrs	2	2	1	2	1.0	0.5	1.0
mediafoundation	10	0	3	3	0.0	0.3	0.3
mura	2	2	2	2	1.0	1.0	1.0
array-splice	11	9	10	11	0.8181818181818182	0.9090909090909091	1.0
platform-independent	43	18	15	24	0.4186046511627907	0.3488372093023256	0.5581395348837209
first-class	6	3	5	5	0.5	0.8333333333333334	0.8333333333333334
gibberish	12	5	8	9	0.4166666666666667	0.6666666666666666	0.75
django-reversion	3	3	1	3	1.0	0.3333333333333333	1.0
serverobjectmanager	1	1	1	1	1.0	1.0	1.0
piccolo	3	1	3	3	0.3333333333333333	1.0	1.0
starkit	4	3	3	3	0.75	0.75	0.75
aliasing	33	17	15	24	0.5151515151515151	0.45454545454545453	0.7272727272727273
mustache	86	65	78	81	0.7558139534883721	0.9069767441860465	0.9418604651162791
noise-generator	2	1	2	2	0.5	1.0	1.0
bootcamp	15	7	6	9	0.4666666666666667	0.4	0.6
marshalling	634	127	143	213	0.20031545741324921	0.22555205047318613	0.3359621451104101
uitableviewstyle	5	2	3	3	0.4	0.6	0.6
imagelibrary	6	0	0	0	0.0	0.0	0.0
integer-division	59	15	20	28	0.2542372881355932	0.3389830508474576	0.4745762711864407
embarrassingly-parallel	5	2	4	5	0.4	0.8	1.0
mule	94	71	88	93	0.7553191489361702	0.9361702127659575	0.9893617021276596
private-inheritance	6	4	2	4	0.6666666666666666	0.3333333333333333	0.6666666666666666
lucene-highlighter	3	2	2	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
slicing	89	43	34	55	0.48314606741573035	0.38202247191011235	0.6179775280898876
local-network	12	6	9	10	0.5	0.75	0.8333333333333334
os-version	15	9	12	13	0.6	0.8	0.8666666666666667
contract	81	58	76	77	0.7160493827160493	0.9382716049382716	0.9506172839506173
videocard	3	0	0	0	0.0	0.0	0.0
human-readable	16	11	10	12	0.6875	0.625	0.75
jacob	38	28	35	37	0.7368421052631579	0.9210526315789473	0.9736842105263158
overlapped-io	29	7	24	24	0.2413793103448276	0.8275862068965517	0.8275862068965517
inserter	2	1	1	1	0.5	0.5	0.5
fixedpage	7	5	7	7	0.7142857142857143	1.0	1.0
embedded	1502	473	781	866	0.31491344873502	0.5199733688415447	0.5765645805592543
outlook-form	14	12	14	14	0.8571428571428571	1.0	1.0
usage-tracking	3	1	0	1	0.3333333333333333	0.0	0.3333333333333333
mediawiki	496	343	381	435	0.6915322580645161	0.7681451612903226	0.8770161290322581
longtable	14	11	13	13	0.7857142857142857	0.9285714285714286	0.9285714285714286
string-substitution	13	3	1	3	0.23076923076923078	0.07692307692307693	0.23076923076923078
subshell	10	5	7	7	0.5	0.7	0.7
getters	125	48	54	69	0.384	0.432	0.552
vala	67	50	57	60	0.746268656716418	0.8507462686567164	0.8955223880597015
cloudfoundry	11	5	8	9	0.45454545454545453	0.7272727272727273	0.8181818181818182
datastorage	23	1	1	1	0.043478260869565216	0.043478260869565216	0.043478260869565216
dojox.charting	60	10	28	31	0.16666666666666666	0.4666666666666667	0.5166666666666667
fieldaccessexception	1	1	1	1	1.0	1.0	1.0
htmldecode	17	5	10	10	0.29411764705882354	0.5882352941176471	0.5882352941176471
pass-by-value	106	37	57	67	0.3490566037735849	0.5377358490566038	0.6320754716981132
winreg	14	8	13	13	0.5714285714285714	0.9285714285714286	0.9285714285714286
no-cache	15	7	14	14	0.4666666666666667	0.9333333333333333	0.9333333333333333
create-table	54	31	51	51	0.5740740740740741	0.9444444444444444	0.9444444444444444
pervasive	51	25	39	42	0.49019607843137253	0.7647058823529411	0.8235294117647058
visualhg	13	7	9	11	0.5384615384615384	0.6923076923076923	0.8461538461538461
comobject	19	2	8	8	0.10526315789473684	0.42105263157894735	0.42105263157894735
visualj#	3	0	0	0	0.0	0.0	0.0
adversary	1	1	0	1	1.0	0.0	1.0
hardware-testing	1	0	0	0	0.0	0.0	0.0
megaupload	9	5	7	8	0.5555555555555556	0.7777777777777778	0.8888888888888888
simplebutton	7	6	6	7	0.8571428571428571	0.8571428571428571	1.0
cgi-application	11	10	10	10	0.9090909090909091	0.9090909090909091	0.9090909090909091
flex4.5	227	1	3	3	0.004405286343612335	0.013215859030837005	0.013215859030837005
saleslogix	4	2	2	2	0.5	0.5	0.5
masters-degree	20	2	5	6	0.1	0.25	0.3
vc90	4	2	3	3	0.5	0.75	0.75
sqlmembershipprovider	98	29	47	55	0.29591836734693877	0.47959183673469385	0.5612244897959183
cuda-kernel	78	30	39	47	0.38461538461538464	0.5	0.6025641025641025
mysqladmin	7	3	4	4	0.42857142857142855	0.5714285714285714	0.5714285714285714
samba	150	83	118	127	0.5533333333333333	0.7866666666666666	0.8466666666666667
dotfuscator	40	28	32	37	0.7	0.8	0.925
ne-flag	1	1	1	1	1.0	1.0	1.0
custom-object	14	10	12	13	0.7142857142857143	0.8571428571428571	0.9285714285714286
loader	287	130	221	234	0.4529616724738676	0.7700348432055749	0.8153310104529616
modal-window	6	4	6	6	0.6666666666666666	1.0	1.0
fastfunc	2	1	2	2	0.5	1.0	1.0
gstreamer	208	141	168	183	0.6778846153846154	0.8076923076923077	0.8798076923076923
loaded	29	19	22	28	0.6551724137931034	0.7586206896551724	0.9655172413793104
socketexception	48	24	41	43	0.5	0.8541666666666666	0.8958333333333334
sql-ansi	4	3	3	4	0.75	0.75	1.0
hibernate-validator	92	35	66	73	0.3804347826086957	0.717391304347826	0.7934782608695652
freebase	76	50	67	73	0.6578947368421053	0.881578947368421	0.9605263157894737
acts-as-commentable	16	14	12	16	0.875	0.75	1.0
blank-line	2	2	2	2	1.0	1.0	1.0
kcachegrind	22	12	19	20	0.5454545454545454	0.8636363636363636	0.9090909090909091
binders	5	2	3	3	0.4	0.6	0.6
online-storage	6	1	2	2	0.16666666666666666	0.3333333333333333	0.3333333333333333
web-developer-toolbar	19	8	8	9	0.42105263157894735	0.42105263157894735	0.47368421052631576
time-precision	12	2	8	8	0.16666666666666666	0.6666666666666666	0.6666666666666666
context-info	3	3	3	3	1.0	1.0	1.0
stack-machine	3	3	3	3	1.0	1.0	1.0
self-education	5	1	0	1	0.2	0.0	0.2
virtex	3	1	2	2	0.3333333333333333	0.6666666666666666	0.6666666666666666
databasemetadata	9	5	6	6	0.5555555555555556	0.6666666666666666	0.6666666666666666
iron	5	3	4	4	0.6	0.8	0.8
proxypass	18	10	16	16	0.5555555555555556	0.8888888888888888	0.8888888888888888
graduation	4	2	3	3	0.5	0.75	0.75
execve	7	4	7	7	0.5714285714285714	1.0	1.0
absolute	127	91	98	111	0.7165354330708661	0.7716535433070866	0.8740157480314961
unquote	5	2	3	3	0.4	0.6	0.6
68000	25	7	9	11	0.28	0.36	0.44
board-game	6	4	4	6	0.6666666666666666	0.6666666666666666	1.0
fluorinefx	28	17	20	23	0.6071428571428571	0.7142857142857143	0.8214285714285714
execvp	21	14	21	21	0.6666666666666666	1.0	1.0
query-cache	28	18	27	27	0.6428571428571429	0.9642857142857143	0.9642857142857143
long-polling	172	82	113	131	0.47674418604651164	0.6569767441860465	0.7616279069767442
browser-upgrading	1	0	0	0	0.0	0.0	0.0
secure-scl	2	0	0	0	0.0	0.0	0.0
all-delete-orphan	1	1	1	1	1.0	1.0	1.0
nested-checkboxes	3	2	1	2	0.6666666666666666	0.3333333333333333	0.6666666666666666
buildr	60	42	58	59	0.7	0.9666666666666667	0.9833333333333333
android-compatibility	6	1	2	2	0.16666666666666666	0.3333333333333333	0.3333333333333333
incremental-search	5	5	5	5	1.0	1.0	1.0
stochastic	8	6	4	7	0.75	0.5	0.875
soundcloud	40	27	36	38	0.675	0.9	0.95
org-mode	120	88	94	107	0.7333333333333333	0.7833333333333333	0.8916666666666667
conditional-attribute	2	2	1	2	1.0	0.5	1.0
python-pil	1	0	0	0	0.0	0.0	0.0
icustomtypedescriptor	10	4	9	9	0.4	0.9	0.9
sqlapi++	1	1	1	1	1.0	1.0	1.0
pagemethods	143	35	65	73	0.24475524475524477	0.45454545454545453	0.5104895104895105
tableless	38	11	14	19	0.2894736842105263	0.3684210526315789	0.5
thumbs.db	1	1	1	1	1.0	1.0	1.0
select-tag	24	16	17	21	0.6666666666666666	0.7083333333333334	0.875
information-exchange	1	1	0	1	1.0	0.0	1.0
optimizer-hints	12	0	1	1	0.0	0.08333333333333333	0.08333333333333333
fabricjs	2	0	0	0	0.0	0.0	0.0
saveas	2	1	2	2	0.5	1.0	1.0
rabbitmq	329	207	265	296	0.6291793313069909	0.8054711246200608	0.8996960486322189
scxml	8	5	7	7	0.625	0.875	0.875
django-fields	47	4	15	17	0.0851063829787234	0.3191489361702128	0.3617021276595745
paintevent	4	2	4	4	0.5	1.0	1.0
irix	5	4	5	5	0.8	1.0	1.0
nstextstorage	4	3	4	4	0.75	1.0	1.0
palm-pre	54	23	29	34	0.42592592592592593	0.5370370370370371	0.6296296296296297
sparx	8	3	5	7	0.375	0.625	0.875
tdatetime	10	6	9	9	0.6	0.9	0.9
domain-driven-design	1344	178	225	323	0.1324404761904762	0.16741071428571427	0.24032738095238096
case-class	41	35	41	41	0.8536585365853658	1.0	1.0
mute	36	29	33	35	0.8055555555555556	0.9166666666666666	0.9722222222222222
httpwatch	7	5	7	7	0.7142857142857143	1.0	1.0
accessorytype	10	5	5	8	0.5	0.5	0.8
sparc	56	38	50	55	0.6785714285714286	0.8928571428571429	0.9821428571428571
mutt	20	13	20	20	0.65	1.0	1.0
spark	305	182	224	254	0.5967213114754099	0.7344262295081967	0.8327868852459016
vary	6	5	5	6	0.8333333333333334	0.8333333333333334	1.0
rumor	3	1	2	2	0.3333333333333333	0.6666666666666666	0.6666666666666666
hidden-features	116	80	70	87	0.6896551724137931	0.603448275862069	0.75
mongodb-java	12	2	6	7	0.16666666666666666	0.5	0.5833333333333334
jailbreak	243	37	61	70	0.1522633744855967	0.25102880658436216	0.2880658436213992
zeus	15	13	14	14	0.8666666666666667	0.9333333333333333	0.9333333333333333
custom-site-definition	1	1	1	1	1.0	1.0	1.0
verlet-integration	4	2	4	4	0.5	1.0	1.0
open-file	23	14	20	21	0.6086956521739131	0.8695652173913043	0.9130434782608695
maximize	65	39	56	58	0.6	0.8615384615384616	0.8923076923076924
git-branching	180	11	23	26	0.06111111111111111	0.12777777777777777	0.14444444444444443
commoncrypto	1	0	0	0	0.0	0.0	0.0
deviation	9	4	7	7	0.4444444444444444	0.7777777777777778	0.7777777777777778
nhibernate-bytecode	1	0	0	0	0.0	0.0	0.0
netflix	37	23	32	36	0.6216216216216216	0.8648648648648649	0.972972972972973
eeprom	6	4	6	6	0.6666666666666666	1.0	1.0
ruby-in-steel	2	1	2	2	0.5	1.0	1.0
repository	1202	631	1002	1061	0.5249584026622296	0.8336106489184693	0.8826955074875208
dosgi	5	3	4	4	0.6	0.8	0.8
advantages	14	8	12	13	0.5714285714285714	0.8571428571428571	0.9285714285714286
stl-algorithm	34	7	12	12	0.20588235294117646	0.35294117647058826	0.35294117647058826
sharedservicesprovider	5	0	0	0	0.0	0.0	0.0
helper	345	232	286	303	0.672463768115942	0.8289855072463768	0.8782608695652174
tre-library	4	1	3	3	0.25	0.75	0.75
differentiation	5	1	2	2	0.2	0.4	0.4
version-control	4625	708	1432	1592	0.1530810810810811	0.3096216216216216	0.34421621621621623
facebook-c#-sdk	699	208	297	377	0.29756795422031473	0.4248927038626609	0.5393419170243204
scientific-computing	139	11	19	21	0.07913669064748201	0.1366906474820144	0.1510791366906475
nsapi	3	2	3	3	0.6666666666666666	1.0	1.0
subversive	110	54	82	91	0.4909090909090909	0.7454545454545455	0.8272727272727273
grails-validation	39	11	13	19	0.28205128205128205	0.3333333333333333	0.48717948717948717
html-spcecial-characters	5	0	0	0	0.0	0.0	0.0
touchpad	29	17	17	20	0.5862068965517241	0.5862068965517241	0.6896551724137931
cakephp-2.0	16	8	11	12	0.5	0.6875	0.75
showmodaldialog	28	20	23	23	0.7142857142857143	0.8214285714285714	0.8214285714285714
code-access-security	112	19	35	41	0.16964285714285715	0.3125	0.36607142857142855
zero	113	73	73	89	0.6460176991150443	0.6460176991150443	0.7876106194690266
stanford	26	16	22	24	0.6153846153846154	0.8461538461538461	0.9230769230769231
spawn	62	49	57	62	0.7903225806451613	0.9193548387096774	1.0
mvc#	1	1	1	1	1.0	1.0	1.0
ftp-publishing	1	0	1	1	0.0	1.0	1.0
cqwp	23	9	18	18	0.391304347826087	0.782608695652174	0.782608695652174
jquery-tooltip	38	23	31	32	0.6052631578947368	0.8157894736842105	0.8421052631578947
sevlets	9	0	0	0	0.0	0.0	0.0
resulttransformer	5	1	3	3	0.2	0.6	0.6
os-9	1	1	1	1	1.0	1.0	1.0
class-table-inheritance	14	8	13	13	0.5714285714285714	0.9285714285714286	0.9285714285714286
testrunconfig	7	3	5	5	0.42857142857142855	0.7142857142857143	0.7142857142857143
servlets	4374	353	749	915	0.08070416095107454	0.17123914037494284	0.20919067215363513
h.264	263	85	115	127	0.3231939163498099	0.4372623574144487	0.4828897338403042
updatebatchsize	2	2	2	2	1.0	1.0	1.0
ui-automation	238	138	151	181	0.5798319327731093	0.634453781512605	0.7605042016806722
openflashchart2	18	1	2	2	0.05555555555555555	0.1111111111111111	0.1111111111111111
information-bar	4	4	4	4	1.0	1.0	1.0
beginread	7	6	7	7	0.8571428571428571	1.0	1.0
ranking	185	74	86	109	0.4	0.4648648648648649	0.5891891891891892
stay-logged-in	6	1	1	2	0.16666666666666666	0.16666666666666666	0.3333333333333333
culture	211	127	172	182	0.6018957345971564	0.8151658767772512	0.8625592417061612
opencobol	9	3	4	5	0.3333333333333333	0.4444444444444444	0.5555555555555556
dynamic-analysis	9	3	6	6	0.3333333333333333	0.6666666666666666	0.6666666666666666
complexity	550	227	314	352	0.4127272727272727	0.5709090909090909	0.64
google-data	16	8	15	16	0.5	0.9375	1.0
getproperty	8	4	7	8	0.5	0.875	1.0
stylesheets	43	7	11	16	0.16279069767441862	0.2558139534883721	0.37209302325581395
mvcc	15	7	13	13	0.4666666666666667	0.8666666666666667	0.8666666666666667
picasa	92	73	84	89	0.7934782608695652	0.9130434782608695	0.967391304347826
venn-diagram	14	11	13	13	0.7857142857142857	0.9285714285714286	0.9285714285714286
nintendo	17	7	7	8	0.4117647058823529	0.4117647058823529	0.47058823529411764
scalac	10	3	6	6	0.3	0.6	0.6
read-write	41	19	33	37	0.4634146341463415	0.8048780487804879	0.9024390243902439
shoutcast	67	43	54	61	0.6417910447761194	0.8059701492537313	0.9104477611940298
jquery-effects	81	8	9	14	0.09876543209876543	0.1111111111111111	0.1728395061728395
sstream	10	4	4	7	0.4	0.4	0.7
scalap	1	0	1	1	0.0	1.0	1.0
scalar	46	33	36	42	0.717391304347826	0.782608695652174	0.9130434782608695
automation	1714	358	435	585	0.2088681446907818	0.25379229871645276	0.3413068844807468
data-type-conversion	12	0	1	1	0.0	0.08333333333333333	0.08333333333333333
jsonix	2	0	0	0	0.0	0.0	0.0
horizontaloffset	5	2	3	3	0.4	0.6	0.6
foswiki	3	2	2	3	0.6666666666666666	0.6666666666666666	1.0
zest	8	5	8	8	0.625	1.0	1.0
grid-computing	24	6	8	8	0.25	0.3333333333333333	0.3333333333333333
google-development	3	0	0	0	0.0	0.0	0.0
clickatell	8	6	8	8	0.75	1.0	1.0
dragonfly	30	22	25	27	0.7333333333333333	0.8333333333333334	0.9
scalaz	40	25	38	39	0.625	0.95	0.975
stencils	7	0	2	2	0.0	0.2857142857142857	0.2857142857142857
redmine	251	180	232	241	0.7171314741035857	0.9243027888446215	0.9601593625498008
multitrigger	13	5	9	9	0.38461538461538464	0.6923076923076923	0.6923076923076923
class-structure	11	0	5	5	0.0	0.45454545454545453	0.45454545454545453
diaspora	8	7	8	8	0.875	1.0	1.0
nsconnection	12	5	9	9	0.4166666666666667	0.75	0.75
barcode-printing	5	2	2	2	0.4	0.4	0.4
contrast	19	14	16	16	0.7368421052631579	0.8421052631578947	0.8421052631578947
selinux	32	14	25	26	0.4375	0.78125	0.8125
random-data	2	1	2	2	0.5	1.0	1.0
zbuffer	17	2	6	7	0.11764705882352941	0.35294117647058826	0.4117647058823529
asp.net-mvc-4	1	1	1	1	1.0	1.0	1.0
form-post	17	8	13	13	0.47058823529411764	0.7647058823529411	0.7647058823529411
textmatebundles	91	0	0	0	0.0	0.0	0.0
asp.net-mvc-3	8633	1488	1920	2768	0.17236186725356192	0.22240240935943473	0.32063014015985175
filechannel	21	12	20	20	0.5714285714285714	0.9523809523809523	0.9523809523809523
